spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
CUPSPP,Hesperocyparis_species,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CUPSPP(D),dead_Hesperocyparis,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
CUSCAL,Cuscuta_californica,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CUSSPP,Cuscuta_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CYLPRO,Cylindropuntia prolifera,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CYNCAR,Cynara_cardunculus,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
CYPERA,Cyperus eragrostis,Grass,NativeGrass,GRASS_Annual,NATIVE,plant,non
DATWRI,Datura wrightii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
DAUPUS,Daucus_pusillus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
DAUSPP,Daucus species,Forb,,,,plant,non
DCS(ARTCAL),dead_crown_sprouting_Artemisia_californica,Dead,,,,plant,non
DCS(QUEDUM),dead_crown_sprouting_Quercus_dumosa,Dead,,,,plant,non
DEIFAS,Deinandra_fasciculata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
DEISPP,Deinandra_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
DENRIG,Dendromecon_rigida,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
DENSPP(D),dead_Dendromecon,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
DICCAP,Dichelostemma_capitatum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
DISSPI,Distichlis_spicata_,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
DISSPP,Distichlis_spicata,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
DPCS(MALFAS),Dead_part_of_crown_sprouting_Malacothamnus_fasciculatus,Forb,,,,plant,non
DUDLAN,Dudleya_lanceolata,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
DUDVIS,Dudleya viscida,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
